product_idea,category,skill_level,available_materials,available_tools,budget_zar,estimated_cost_zar,build_feasible,build_time,revisions_needed
Standing Desk,tables,Advanced,"meranti boards, pocket screws, wood filler, polyurethane","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",6587,2276,YES,2-3 days,0
Workbench,tables,Intermediate,"plywood sheets, hardwood edge banding, wood screws, lacquer","band saw, drill press, orbital sander, clamps, chisel, mallet",2818,1281,YES,2-3 days,0
Ladder Shelf,storage,Beginner,"pine boards, plywood, wood screws, sandpaper, varnish","hand saw, hammer, tape measure, sandpaper, clamps",993,409,NO,4-8 hours,3
Display Cabinet,storage,Intermediate,"oak lumber, dovetail joints, wood glue, oil finish","miter saw, drill, orbital sander, clamps, router, level",7133,3365,NO,3-5 days,1
Pet Ramp,outdoor,Beginner,"cedar boards, stainless screws, teak oil, sandpaper","jigsaw, drill, tape measure, sandpaper, square",1031,447,YES,3-6 hours,0
Bar Stool,seating,Advanced,"pine boards, pocket screws, wood filler, polyurethane","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",907,346,YES,1-2 days,0
Coffee Table,tables,Intermediate,"oak lumber, dowels, wood glue, varnish","table saw, drill, orbital sander, clamps, router, square",2287,1200,YES,1-2 days,0
Headboard,bedroom,Intermediate,"meranti boards, pocket screws, sandpaper, lacquer","band saw, drill press, orbital sander, clamps, chisel, mallet",1842,858,YES,4-8 hours,1
Hall Tree,storage,Intermediate,"oak lumber, dovetail joints, wood glue, oil finish","band saw, drill press, orbital sander, clamps, chisel, mallet",1418,597,YES,1-2 days,0
Rocking Chair,seating,Intermediate,"reclaimed wood, steel brackets, sandpaper, linseed oil","band saw, drill press, orbital sander, clamps, chisel, mallet",5807,2092,NO,3-5 days,3
Nightstand,bedroom,Intermediate,"pine boards, wood screws, sandpaper, wood stain","miter saw, drill, orbital sander, clamps, router, level",2068,678,YES,4-8 hours,0
Bench,seating,Beginner,"meranti boards, dowels, sandpaper, paint","circular saw, hammer, tape measure, clamps, level",2076,960,YES,1-2 days,0
Adirondack Chair,seating,Beginner,"hardwood lumber, mortise joints, wood glue, varnish","hand saw, hammer, tape measure, sandpaper, clamps",3208,1168,YES,1-2 days,0
Hall Tree,storage,Intermediate,"plywood sheets, pine edging, wood screws, lacquer","table saw, drill, orbital sander, clamps, router, square",1491,887,YES,1-2 days,0
Dollhouse,kids,Advanced,"birch plywood, non-toxic finish, sandpaper, wood screws","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",5810,2153,YES,3-5 days,0
Bar Stool,seating,Beginner,"meranti boards, dowels, sandpaper, paint","hand saw, hammer, tape measure, sandpaper, clamps",916,317,YES,1-2 days,0
Rocking Chair,seating,Intermediate,"hardwood lumber, mortise joints, wood glue, varnish","table saw, drill, orbital sander, clamps, router, square",4824,1742,YES,3-5 days,0
Canopy Bed,bedroom,Advanced,"reclaimed wood, steel brackets, sandpaper, linseed oil","table saw, jointer, planer, router, drill press, orbital sander, clamps",10587,5000,YES,4-6 days,0
Ottoman,seating,Intermediate,"meranti boards, dowels, sandpaper, paint","miter saw, drill, orbital sander, clamps, router, level",1789,929,YES,1-2 days,0
Spice Rack,storage,Intermediate,"pine boards, dowels, wood filler, polyurethane","band saw, drill press, orbital sander, clamps, chisel, mallet",790,284,YES,2-4 hours,1
Serving Tray,decorative,Advanced,"walnut off-cuts, danish oil, sandpaper, beeswax","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",392,182,YES,2-4 hours,0
Bunk Bed,bedroom,Advanced,"oak lumber, dowels, wood glue, varnish","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",10487,4622,YES,3-5 days,0
Wall-Mounted Shelves,storage,Intermediate,"pine boards, plywood, wood screws, sandpaper, varnish","circular saw, router, orbital sander, drill, clamps, tape measure",624,217,YES,2-4 hours,1
Folding Chair,seating,Beginner,"hardwood lumber, mortise joints, wood glue, varnish","hand saw, hammer, tape measure, sandpaper, clamps",1623,1056,YES,1-2 days,0
Picture Frame,decorative,Intermediate,"pine boards, router bits, sandpaper, lacquer","circular saw, router, orbital sander, drill, clamps, tape measure",341,163,YES,1-3 hours,3
Desk,tables,Intermediate,"pine boards, metal legs, wood glue, wood oil","miter saw, drill, orbital sander, clamps, router, level",4008,1755,NO,1-2 days,3
Kitchen Island,tables,Advanced,"meranti boards, pocket screws, wood filler, polyurethane","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",10404,4281,NO,3-5 days,3
Chaise Lounge,seating,Advanced,"hardwood lumber, mortise joints, wood glue, varnish","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",4616,1637,YES,3-5 days,0
Keepsake Box,storage,Beginner,"oak lumber, dovetail joints, wood glue, oil finish","jigsaw, drill, tape measure, sandpaper, square",280,171,NO,2-4 hours,1
Secretary Desk,tables,Advanced,"pine boards, wood screws, sandpaper, wood stain","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",8957,2892,YES,3-5 days,0
Kitchen Island,tables,Beginner,"pine boards, metal legs, wood glue, wood oil","hand saw, hammer, tape measure, sandpaper, clamps",8617,4348,YES,3-5 days,0
Stool,seating,Beginner,"meranti boards, dowels, sandpaper, paint","jigsaw, drill, tape measure, sandpaper, square",732,393,YES,3-5 hours,0
Computer Desk,tables,Intermediate,"plywood sheets, hardwood edge banding, wood screws, lacquer","miter saw, drill, orbital sander, clamps, router, level",2879,1359,YES,1-2 days,0
Memory Box / Hope Chest,storage,Intermediate,"pine boards, dowels, wood filler, polyurethane","circular saw, router, orbital sander, drill, clamps, tape measure",3020,1350,YES,1-2 days,2
Computer Desk,tables,Intermediate,"pine boards, wood screws, sandpaper, wood stain","table saw, drill, orbital sander, clamps, router, square",3381,1084,YES,1-2 days,1
Chest of Drawers,storage,Intermediate,"oak lumber, dovetail joints, wood glue, oil finish","table saw, drill, orbital sander, clamps, router, square",8619,2857,YES,3-4 days,0
Sawhorse,workshop,Intermediate,"pine boards, wood screws, sandpaper, linseed oil","circular saw, router, orbital sander, drill, clamps, tape measure",813,270,YES,3-5 hours,0
Wall Art / Wood Carving,decorative,Advanced,"reclaimed wood off-cuts, wood glue, sandpaper, varnish","table saw, jointer, planer, router, drill press, orbital sander, clamps",1325,460,YES,1-3 days,0
Wooden Sign,decorative,Beginner,"pine boards, router bits, sandpaper, lacquer","hand saw, hammer, tape measure, sandpaper, clamps",229,122,NO,2-4 hours,3
Rocking Chair,seating,Advanced,"meranti boards, dowels, sandpaper, paint","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",5719,1379,YES,3-5 days,0
Dog House,outdoor,Beginner,"treated pine, galvanised screws, outdoor paint, sandpaper","hand saw, chisel, mallet, sandpaper, tape measure",1853,705,YES,1-2 days,1
Writing Desk,tables,Beginner,"reclaimed wood, steel brackets, sandpaper, linseed oil","jigsaw, drill, tape measure, sandpaper, square",1322,658,YES,1-2 days,0
Coffee Table,tables,Beginner,"pine boards, metal legs, wood glue, wood oil","circular saw, hammer, tape measure, clamps, level",2106,890,YES,1-2 days,0
High Chair,seating,Advanced,"reclaimed wood, steel brackets, sandpaper, linseed oil","table saw, jointer, planer, router, drill press, orbital sander, clamps",8072,2901,YES,2-3 days,1
Folding Table,tables,Advanced,"plywood sheets, hardwood edge banding, wood screws, lacquer","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",2087,840,YES,1-2 days,3
Folding Table,tables,Intermediate,"oak lumber, dowels, wood glue, varnish","circular saw, router, orbital sander, drill, clamps, tape measure",2193,887,YES,1-2 days,1
Dresser,storage,Advanced,"pine boards, plywood, wood screws, sandpaper, varnish","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",6637,2736,YES,3-5 days,2
Loft Bed,bedroom,Advanced,"plywood sheets, pine trim, wood screws, paint","table saw, jointer, planer, router, drill press, orbital sander, clamps",10248,3268,YES,3-5 days,0
Folding Step Ladder,outdoor,Intermediate,"pine boards, outdoor screws, weather sealant, sandpaper","miter saw, drill, orbital sander, clamps, router, level",1326,421,NO,4-8 hours,1
Step Stool,seating,Beginner,"pine boards, wood screws, sandpaper, wood stain","hand saw, hammer, tape measure, sandpaper, clamps",1096,313,NO,4-8 hours,3
Raised Garden Bed,outdoor,Advanced,"treated pine, galvanised screws, outdoor paint, sandpaper","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",1732,921,YES,1-2 days,0
Ottoman,seating,Beginner,"meranti boards, dowels, sandpaper, paint","hand saw, chisel, mallet, sandpaper, tape measure",1308,860,YES,1-2 days,0
Canopy Bed,bedroom,Intermediate,"reclaimed wood, steel brackets, sandpaper, linseed oil","circular saw, router, orbital sander, drill, clamps, tape measure",9486,3112,YES,4-6 days,0
Stool,seating,Beginner,"meranti boards, dowels, sandpaper, paint","jigsaw, drill, tape measure, sandpaper, square",1201,499,YES,3-5 hours,0
Picture Frame,decorative,Beginner,"reclaimed wood off-cuts, wood glue, sandpaper, varnish","hand saw, chisel, mallet, sandpaper, tape measure",241,131,YES,1-3 hours,2
Footstool,seating,Beginner,"hardwood lumber, mortise joints, wood glue, varnish","circular saw, hammer, tape measure, clamps, level",1090,373,YES,3-5 hours,2
Canopy Bed,bedroom,Advanced,"pine boards, wood screws, sandpaper, wood stain","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",9985,3929,YES,4-6 days,0
Utensil Holder,storage,Beginner,"pine boards, plywood, wood screws, sandpaper, varnish","hand saw, hammer, tape measure, sandpaper, clamps",133,65,YES,1-2 hours,0
Bench with Backrest,seating,Advanced,"pine boards, pocket screws, wood filler, polyurethane","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",2430,911,YES,1-2 days,2
Gazebo,outdoor,Beginner,"cedar boards, stainless screws, teak oil, sandpaper","circular saw, hammer, tape measure, clamps, level",13673,4985,YES,5-7 days,0
Bench with Backrest,seating,Advanced,"meranti boards, dowels, sandpaper, paint","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",1747,737,YES,1-2 days,0
Coat Rack,storage,Intermediate,"pine boards, dowels, wood filler, polyurethane","circular saw, router, orbital sander, drill, clamps, tape measure",625,297,YES,2-4 hours,0
Floating Shelves,storage,Advanced,"pine boards, plywood, wood screws, sandpaper, varnish","table saw, jointer, planer, router, drill press, orbital sander, clamps",617,225,NO,2-4 hours,3
Spice Rack,storage,Beginner,"pine boards, plywood, wood screws, sandpaper, varnish","hand saw, chisel, mallet, sandpaper, tape measure",238,111,YES,2-4 hours,1
Chest of Drawers,storage,Advanced,"plywood sheets, pine edging, wood screws, lacquer","table saw, jointer, planer, router, drill press, orbital sander, clamps",5156,1843,YES,3-4 days,3
Garden Bench,outdoor,Beginner,"reclaimed timber, galvanised brackets, outdoor stain, nails","jigsaw, drill, tape measure, sandpaper, square",1640,625,YES,1-2 days,0
Coffee Table,tables,Intermediate,"plywood sheets, hardwood edge banding, wood screws, lacquer","band saw, drill press, orbital sander, clamps, chisel, mallet",2721,1202,YES,1-2 days,1
Dining Table,tables,Intermediate,"plywood sheets, hardwood edge banding, wood screws, lacquer","table saw, drill, orbital sander, clamps, router, square",5661,2616,NO,2-4 days,3
Chicken Coop,outdoor,Advanced,"reclaimed timber, galvanised brackets, outdoor stain, nails","table saw, jointer, planer, router, drill press, orbital sander, clamps",5684,2195,NO,2-3 days,3
Floating Shelves,storage,Intermediate,"meranti boards, metal hinges, wood screws, paint","miter saw, drill, orbital sander, clamps, router, level",955,299,YES,2-4 hours,2
Dog House,outdoor,Beginner,"pine boards, outdoor screws, weather sealant, sandpaper","circular saw, hammer, tape measure, clamps, level",2557,963,NO,1-2 days,1
Wine Rack,storage,Intermediate,"reclaimed wood, brackets, nails, linseed oil","band saw, drill press, orbital sander, clamps, chisel, mallet",2164,755,YES,4-8 hours,0
Pallet Furniture,seating,Beginner,"pine boards, wood screws, sandpaper, wood stain","hand saw, chisel, mallet, sandpaper, tape measure",1231,515,YES,1-2 days,0
Hall Tree,storage,Advanced,"pine boards, dowels, wood filler, polyurethane","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",2110,801,YES,1-2 days,0
Nightstand,bedroom,Beginner,"meranti boards, pocket screws, sandpaper, lacquer","hand saw, hammer, tape measure, sandpaper, clamps",765,338,YES,4-8 hours,0
Canopy Bed,bedroom,Advanced,"oak lumber, dowels, wood glue, varnish","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",13416,4279,NO,4-6 days,3
Cat Tree / Cat Condo,outdoor,Intermediate,"pine boards, outdoor screws, weather sealant, sandpaper","table saw, drill, orbital sander, clamps, router, square",721,444,YES,1-2 days,0
Wall Art / Wood Carving,decorative,Advanced,"hardwood scraps, epoxy resin, sandpaper, oil finish","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",1861,783,YES,1-3 days,3
Credenza,storage,Advanced,"meranti boards, metal hinges, wood screws, paint","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",9959,3629,YES,3-5 days,2
High Chair,seating,Advanced,"reclaimed wood, steel brackets, sandpaper, linseed oil","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",6641,1941,YES,2-3 days,2
Dining Table,tables,Intermediate,"oak lumber, dowels, wood glue, varnish","circular saw, router, orbital sander, drill, clamps, tape measure",4773,1687,NO,2-4 days,3
Wall-Mounted Shelves,storage,Beginner,"plywood sheets, pine edging, wood screws, lacquer","jigsaw, drill, tape measure, sandpaper, square",598,271,YES,2-4 hours,0
End Table,tables,Advanced,"pine boards, wood screws, sandpaper, wood stain","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",1112,308,YES,4-8 hours,0
Wardrobe,storage,Advanced,"oak lumber, dovetail joints, wood glue, oil finish","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",9143,4653,YES,4-6 days,2
Nightstand,bedroom,Beginner,"pine boards, wood screws, sandpaper, wood stain","hand saw, hammer, tape measure, sandpaper, clamps",672,359,YES,4-8 hours,0
Ottoman,seating,Intermediate,"hardwood lumber, mortise joints, wood glue, varnish","circular saw, router, orbital sander, drill, clamps, tape measure",1861,768,YES,1-2 days,1
Chicken Coop,outdoor,Advanced,"cedar boards, stainless screws, teak oil, sandpaper","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",7630,2440,YES,2-3 days,1
Sawhorse,workshop,Beginner,"hardwood lumber, bolts, washers, metal brackets","hand saw, hammer, tape measure, sandpaper, clamps",580,372,NO,3-5 hours,3
High Chair,seating,Intermediate,"reclaimed wood, steel brackets, sandpaper, linseed oil","table saw, drill, orbital sander, clamps, router, square",6064,2454,YES,2-3 days,0
Chest of Drawers,storage,Advanced,"reclaimed wood, brackets, nails, linseed oil","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",7156,2088,YES,3-4 days,0
Dog House,outdoor,Beginner,"treated pine, galvanised screws, outdoor paint, sandpaper","circular saw, hammer, tape measure, clamps, level",2175,1284,YES,1-2 days,0
Bar Stool,seating,Intermediate,"hardwood lumber, mortise joints, wood glue, varnish","miter saw, drill, orbital sander, clamps, router, level",1902,691,YES,1-2 days,0
Crib,bedroom,Beginner,"reclaimed wood, steel brackets, sandpaper, linseed oil","hand saw, chisel, mallet, sandpaper, tape measure",7277,2929,YES,3-5 days,0
Bookshelf,storage,Beginner,"pine boards, dowels, wood filler, polyurethane","hand saw, chisel, mallet, sandpaper, tape measure",992,393,YES,1-2 days,0
Computer Desk,tables,Intermediate,"pine boards, metal legs, wood glue, wood oil","miter saw, drill, orbital sander, clamps, router, level",3476,1212,YES,1-2 days,3
Jewelry Box,storage,Advanced,"reclaimed wood, brackets, nails, linseed oil","table saw, jointer, planer, router, drill press, orbital sander, clamps",1059,392,YES,4-8 hours,0
Spice Rack,storage,Beginner,"meranti boards, metal hinges, wood screws, paint","jigsaw, drill, tape measure, sandpaper, square",282,133,YES,2-4 hours,1
Wooden Sign,decorative,Advanced,"walnut off-cuts, danish oil, sandpaper, beeswax","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",551,183,YES,2-4 hours,1
Display Cabinet,storage,Advanced,"plywood sheets, pine edging, wood screws, lacquer","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",4409,1703,YES,3-5 days,0
Headboard,bedroom,Beginner,"plywood sheets, pine trim, wood screws, paint","circular saw, hammer, tape measure, clamps, level",1922,743,YES,4-8 hours,0
Cat Tree / Cat Condo,outdoor,Intermediate,"pine boards, outdoor screws, weather sealant, sandpaper","band saw, drill press, orbital sander, clamps, chisel, mallet",940,399,YES,1-2 days,2
Toolbox,storage,Beginner,"meranti boards, metal hinges, wood screws, paint","circular saw, hammer, tape measure, clamps, level",912,375,YES,1-2 days,2
Step Stool,seating,Beginner,"pine boards, pocket screws, wood filler, polyurethane","hand saw, chisel, mallet, sandpaper, tape measure",849,379,YES,4-8 hours,3
Platform Bed,bedroom,Intermediate,"meranti boards, pocket screws, sandpaper, lacquer","miter saw, drill, orbital sander, clamps, router, level",6593,1941,YES,2-3 days,0
Desk,tables,Intermediate,"pine boards, metal legs, wood glue, wood oil","band saw, drill press, orbital sander, clamps, chisel, mallet",2531,887,YES,1-2 days,0
Outdoor Lounge Chair,seating,Intermediate,"pine boards, wood screws, sandpaper, wood stain","table saw, drill, orbital sander, clamps, router, square",3957,1508,YES,1-2 days,0
Garden Bench,outdoor,Intermediate,"meranti boards, exterior glue, galvanised nails, wood preservative","band saw, drill press, orbital sander, clamps, chisel, mallet",2237,856,YES,1-2 days,0
Ladder Shelf,storage,Beginner,"plywood sheets, pine edging, wood screws, lacquer","hand saw, hammer, tape measure, sandpaper, clamps",874,371,YES,4-8 hours,0
Desk,tables,Intermediate,"meranti boards, pocket screws, wood filler, polyurethane","band saw, drill press, orbital sander, clamps, chisel, mallet",3117,1150,YES,1-2 days,3
Spice Rack,storage,Intermediate,"meranti boards, metal hinges, wood screws, paint","band saw, drill press, orbital sander, clamps, chisel, mallet",335,132,YES,2-4 hours,0
Armchair,seating,Beginner,"meranti boards, dowels, sandpaper, paint","circular saw, hammer, tape measure, clamps, level",6527,3726,YES,3-4 days,2
Headboard,bedroom,Intermediate,"pine boards, wood screws, sandpaper, wood stain","circular saw, router, orbital sander, drill, clamps, tape measure",1200,448,YES,4-8 hours,0
Corner Shelves,storage,Intermediate,"pine boards, dowels, wood filler, polyurethane","table saw, drill, orbital sander, clamps, router, square",565,261,YES,3-5 hours,0
Planter Box,outdoor,Beginner,"meranti boards, exterior glue, galvanised nails, wood preservative","hand saw, chisel, mallet, sandpaper, tape measure",1201,632,YES,4-8 hours,0
Dollhouse,kids,Advanced,"hardwood scraps, child-safe varnish, sandpaper, dowels","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",3038,1208,YES,3-5 days,2
Bookshelf,storage,Intermediate,"reclaimed wood, brackets, nails, linseed oil","band saw, drill press, orbital sander, clamps, chisel, mallet",1150,453,YES,1-2 days,2
Computer Desk,tables,Beginner,"reclaimed wood, steel brackets, sandpaper, linseed oil","jigsaw, drill, tape measure, sandpaper, square",4133,1234,YES,1-2 days,0
Rabbit Hutch,outdoor,Intermediate,"meranti boards, exterior glue, galvanised nails, wood preservative","circular saw, router, orbital sander, drill, clamps, tape measure",1343,549,NO,1-2 days,2
Kitchen Island,tables,Intermediate,"pine boards, wood screws, sandpaper, wood stain","circular saw, router, orbital sander, drill, clamps, tape measure",7455,3613,YES,3-5 days,0
Patio Table,tables,Intermediate,"meranti boards, pocket screws, wood filler, polyurethane","table saw, drill, orbital sander, clamps, router, square",2818,879,YES,1-2 days,0
Cat Tree / Cat Condo,outdoor,Intermediate,"treated pine, galvanised screws, outdoor paint, sandpaper","band saw, drill press, orbital sander, clamps, chisel, mallet",2900,871,YES,1-2 days,0
Display Cabinet,storage,Advanced,"meranti boards, metal hinges, wood screws, paint","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",9248,3156,YES,3-5 days,3
Bookshelf,storage,Intermediate,"pine boards, dowels, wood filler, polyurethane","table saw, drill, orbital sander, clamps, router, square",2499,980,NO,1-2 days,1
Dining Table,tables,Intermediate,"pine boards, wood screws, sandpaper, wood stain","band saw, drill press, orbital sander, clamps, chisel, mallet",3373,1670,NO,2-4 days,1
Sawhorse,workshop,Beginner,"pine boards, wood screws, sandpaper, linseed oil","hand saw, chisel, mallet, sandpaper, tape measure",825,439,YES,3-5 hours,0
Bread Box,storage,Beginner,"pine boards, dowels, wood filler, polyurethane","hand saw, chisel, mallet, sandpaper, tape measure",418,199,YES,2-4 hours,0
Pet Ramp,outdoor,Beginner,"cedar boards, stainless screws, teak oil, sandpaper","circular saw, hammer, tape measure, clamps, level",867,392,YES,3-6 hours,1
Hall Tree,storage,Intermediate,"reclaimed wood, brackets, nails, linseed oil","miter saw, drill, orbital sander, clamps, router, level",1423,772,YES,1-2 days,0
High Chair,seating,Intermediate,"pine boards, wood screws, sandpaper, wood stain","miter saw, drill, orbital sander, clamps, router, level",5777,2079,YES,2-3 days,0
Patio Table,tables,Intermediate,"oak lumber, dowels, wood glue, varnish","miter saw, drill, orbital sander, clamps, router, level",3589,1764,YES,1-2 days,3
Ladder Shelf,storage,Beginner,"pine boards, plywood, wood screws, sandpaper, varnish","hand saw, chisel, mallet, sandpaper, tape measure",789,299,YES,4-8 hours,0
Arbor,outdoor,Intermediate,"reclaimed timber, galvanised brackets, outdoor stain, nails","band saw, drill press, orbital sander, clamps, chisel, mallet",2797,1044,NO,1-2 days,2
Kitchen Island,tables,Intermediate,"pine boards, metal legs, wood glue, wood oil","table saw, drill, orbital sander, clamps, router, square",11435,4489,YES,3-5 days,0
Bread Box,storage,Beginner,"meranti boards, metal hinges, wood screws, paint","hand saw, chisel, mallet, sandpaper, tape measure",587,258,NO,2-4 hours,3
Bookcase,storage,Beginner,"meranti boards, metal hinges, wood screws, paint","hand saw, hammer, tape measure, sandpaper, clamps",2781,1310,YES,1-2 days,2
Chaise Lounge,seating,Advanced,"pine boards, wood screws, sandpaper, wood stain","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",5816,1709,YES,3-5 days,0
Puzzle,kids,Intermediate,"birch plywood, non-toxic finish, sandpaper, wood screws","band saw, drill press, orbital sander, clamps, chisel, mallet",1148,463,YES,4-8 hours,1
Picnic Table,tables,Beginner,"reclaimed wood, steel brackets, sandpaper, linseed oil","hand saw, chisel, mallet, sandpaper, tape measure",2209,1402,YES,1-2 days,0
Bench,seating,Beginner,"pine boards, pocket screws, wood filler, polyurethane","circular saw, hammer, tape measure, clamps, level",1040,486,YES,1-2 days,0
Ladder Shelf,storage,Beginner,"oak lumber, dovetail joints, wood glue, oil finish","jigsaw, drill, tape measure, sandpaper, square",744,279,YES,4-8 hours,0
Credenza,storage,Intermediate,"meranti boards, metal hinges, wood screws, paint","table saw, drill, orbital sander, clamps, router, square",7028,2846,YES,3-5 days,3
Ottoman,seating,Beginner,"meranti boards, dowels, sandpaper, paint","jigsaw, drill, tape measure, sandpaper, square",1374,724,YES,1-2 days,3
Bed Frame,bedroom,Advanced,"pine boards, wood screws, sandpaper, wood stain","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",7644,2341,YES,2-3 days,1
Porch Swing,seating,Intermediate,"reclaimed wood, steel brackets, sandpaper, linseed oil","circular saw, router, orbital sander, drill, clamps, tape measure",4378,1824,YES,1-2 days,2
Arbor,outdoor,Advanced,"reclaimed timber, galvanised brackets, outdoor stain, nails","table saw, jointer, planer, router, drill press, orbital sander, clamps",3246,1310,YES,1-2 days,1
Clock,decorative,Advanced,"pine off-cuts, nails, sandpaper, paint","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",1540,546,NO,4-8 hours,1
Rabbit Hutch,outdoor,Beginner,"treated pine, galvanised screws, outdoor paint, sandpaper","hand saw, hammer, tape measure, sandpaper, clamps",2262,975,YES,1-2 days,3
Linen Press,storage,Advanced,"plywood sheets, pine edging, wood screws, lacquer","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",9923,3776,NO,4-6 days,2
Corner Shelves,storage,Intermediate,"pine boards, plywood, wood screws, sandpaper, varnish","circular saw, router, orbital sander, drill, clamps, tape measure",863,410,YES,3-5 hours,0
Adirondack Chair,seating,Intermediate,"meranti boards, dowels, sandpaper, paint","miter saw, drill, orbital sander, clamps, router, level",1737,703,YES,1-2 days,3
Sideboard / Buffet,storage,Advanced,"plywood sheets, pine edging, wood screws, lacquer","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",5103,2016,YES,3-5 days,2
Toy Box,storage,Beginner,"meranti boards, metal hinges, wood screws, paint","hand saw, chisel, mallet, sandpaper, tape measure",726,414,YES,1-2 days,0
Sideboard / Buffet,storage,Advanced,"oak lumber, dovetail joints, wood glue, oil finish","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",8417,3254,YES,3-5 days,1
Wardrobe,storage,Advanced,"pine boards, dowels, wood filler, polyurethane","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",9188,2690,YES,4-6 days,0
Folding Table,tables,Intermediate,"reclaimed wood, steel brackets, sandpaper, linseed oil","band saw, drill press, orbital sander, clamps, chisel, mallet",2422,953,YES,1-2 days,0
Armoire,storage,Advanced,"pine boards, dowels, wood filler, polyurethane","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",6670,2089,YES,5-7 days,0
Shoe Rack,storage,Beginner,"pine boards, dowels, wood filler, polyurethane","jigsaw, drill, tape measure, sandpaper, square",842,441,YES,3-5 hours,2
Bread Box,storage,Beginner,"reclaimed wood, brackets, nails, linseed oil","hand saw, chisel, mallet, sandpaper, tape measure",406,188,YES,2-4 hours,0
Folding Chair,seating,Beginner,"hardwood lumber, mortise joints, wood glue, varnish","jigsaw, drill, tape measure, sandpaper, square",1365,528,YES,1-2 days,3
Floating Shelves,storage,Beginner,"meranti boards, metal hinges, wood screws, paint","circular saw, hammer, tape measure, clamps, level",1306,471,YES,2-4 hours,0
Footboard,bedroom,Beginner,"meranti boards, pocket screws, sandpaper, lacquer","circular saw, hammer, tape measure, clamps, level",1487,874,YES,4-8 hours,0
Workbench Vise Mounting,workshop,Intermediate,"meranti boards, lag screws, sandpaper, wood stain","band saw, drill press, orbital sander, clamps, chisel, mallet",2133,994,YES,4-8 hours,0
Cat Tree / Cat Condo,outdoor,Intermediate,"pine boards, outdoor screws, weather sealant, sandpaper","miter saw, drill, orbital sander, clamps, router, level",2618,1142,YES,1-2 days,3
Secretary Desk,tables,Intermediate,"pine boards, wood screws, sandpaper, wood stain","table saw, drill, orbital sander, clamps, router, square",3523,1301,YES,3-5 days,0
Puzzle,kids,Intermediate,"hardwood scraps, child-safe varnish, sandpaper, dowels","table saw, drill, orbital sander, clamps, router, square",338,172,NO,4-8 hours,2
Workbench,tables,Advanced,"reclaimed wood, steel brackets, sandpaper, linseed oil","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",3588,1550,YES,2-3 days,0
Outdoor Lounge Chair,seating,Intermediate,"hardwood lumber, mortise joints, wood glue, varnish","miter saw, drill, orbital sander, clamps, router, level",1990,975,NO,1-2 days,1
Corner Shelves,storage,Beginner,"oak lumber, dovetail joints, wood glue, oil finish","circular saw, hammer, tape measure, clamps, level",911,286,YES,3-5 hours,2
Garden Bench,outdoor,Intermediate,"cedar boards, stainless screws, teak oil, sandpaper","circular saw, router, orbital sander, drill, clamps, tape measure",1537,715,YES,1-2 days,2
Writing Desk,tables,Beginner,"plywood sheets, hardwood edge banding, wood screws, lacquer","circular saw, hammer, tape measure, clamps, level",3304,1201,YES,1-2 days,0
